epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.484,0.90616,3.77045,1.25545,0.7485,0.45307,0.3028,0.23691,0.73349,3.61149,0.99326,6.668e-05,6.668e-05,6.668e-05
2,40.2819,0.83816,2.57508,1.16974,0.63942,0.99145,0.83096,0.70923,0.60598,1.79748,0.85871,0.000148545,0.000148545,0.000148545
3,44.7513,0.65198,1.34695,1.0559,0.96122,0.9052,0.98392,0.86874,0.56006,1.393,0.84025,0.000228759,0.000228759,0.000228759
4,48.0273,0.73769,1.09505,1.08109,0.98723,1,0.995,0.82809,0.65921,1.34091,0.88188,0.000307323,0.000307323,0.000307323
5,50.981,0.7095,0.89798,1.00701,0.88972,1,0.98885,0.73024,0.80068,2.00877,0.93613,0.000384237,0.000384237,0.000384237
6,54.1875,0.66356,0.83972,1.02966,0.80244,1,0.97786,0.75443,0.73475,1.4563,0.92392,0.0004595,0.0004595,0.0004595
7,57.9369,0.73198,0.76514,1.06488,0.77526,0.68076,0.86341,0.61696,0.99253,2.1207,1.02433,0.000533113,0.000533113,0.000533113
8,60.8686,0.67887,0.70407,1.00448,0.94005,0.7237,0.77975,0.65007,0.71323,1.21042,0.90264,0.000605076,0.000605076,0.000605076
9,63.9068,0.72624,0.66702,1.02098,0.65026,0.64873,0.63512,0.52991,0.79293,1.87209,0.96072,0.000675388,0.000675388,0.000675388
10,67.0136,0.66585,0.62726,0.97416,0.92288,0.375,0.4095,0.33517,1.48512,2.02177,1.48929,0.00074405,0.00074405,0.00074405
11,70.9022,0.72837,0.6954,1.04596,0.53223,0.54167,0.41887,0.33589,0.92162,4.28076,1.05246,0.000811062,0.000811062,0.000811062
12,73.8168,0.67186,0.58701,0.96761,0.3572,0.66667,0.35806,0.2366,1.16866,4.48141,1.31369,0.000876424,0.000876424,0.000876424
13,76.6715,0.70939,0.63364,1.00239,0.19525,0.75,0.23464,0.16574,1.25866,12.8648,1.35778,0.000940135,0.000940135,0.000940135
14,79.7097,0.7367,0.57098,1.02075,0.50102,0.66667,0.73887,0.60986,0.69179,2.08699,0.89244,0.0010022,0.0010022,0.0010022
15,83.6973,0.68685,0.57819,0.99758,0.65219,0.79167,0.90075,0.74852,0.78073,1.99673,0.96198,0.00106261,0.00106261,0.00106261
16,86.7106,0.71324,0.56475,1.04941,0.84861,0.91667,0.95218,0.79029,0.66761,1.34239,0.92058,0.00112137,0.00112137,0.00112137
17,89.6092,0.6586,0.54037,0.9786,0.85524,1,0.94899,0.80815,0.68508,1.13243,0.93498,0.00117848,0.00117848,0.00117848
18,92.6014,0.66295,0.51269,0.99015,0.4404,0.96996,0.51179,0.43411,0.64074,3.61195,0.88927,0.00123394,0.00123394,0.00123394
19,96.6605,0.66053,0.47014,1.00275,0.49172,0.875,0.51148,0.43021,0.68291,6.07782,0.90318,0.00128774,0.00128774,0.00128774
20,99.634,0.67289,0.51963,0.98772,0.59705,0.94804,0.71383,0.59326,0.69867,1.64949,0.92246,0.0013399,0.0013399,0.0013399
21,102.488,0.73279,0.51908,1.05511,0.53058,0.91667,0.71148,0.60638,0.67427,1.98506,0.95716,0.00133693,0.00133693,0.00133693
22,105.442,0.6896,0.53578,1.03418,0.56269,0.86179,0.79804,0.68738,0.6955,2.24323,1.00965,0.00132043,0.00132043,0.00132043
23,109.475,0.75885,0.56471,1.09924,0.75312,0.64424,0.88475,0.73407,0.64653,1.52848,0.91627,0.00130393,0.00130393,0.00130393
24,112.528,0.6587,0.49083,0.99648,0.84717,0.68745,0.89414,0.7346,0.74395,1.21132,0.90631,0.00128742,0.00128742,0.00128742
25,115.694,0.68209,0.5542,0.99205,0.80623,0.79401,0.87503,0.69682,0.77139,1.29542,0.92253,0.00127092,0.00127092,0.00127092
26,118.544,0.63468,0.4619,0.93776,0.9012,0.80368,0.8789,0.7045,0.68801,1.00916,0.87199,0.00125442,0.00125442,0.00125442
27,122.196,0.67204,0.50859,1.01568,0.85878,0.97601,0.96464,0.77365,0.69101,1.00922,0.88134,0.00123791,0.00123791,0.00123791
28,125.142,0.71693,0.51497,1.00371,0.92655,0.95833,0.97992,0.80929,0.66464,0.79316,0.92846,0.00122141,0.00122141,0.00122141
29,128.075,0.64337,0.46572,0.97372,0.81824,0.98443,0.979,0.7633,0.77961,0.92176,0.98071,0.00120491,0.00120491,0.00120491
30,130.969,0.62619,0.49641,0.95559,0.65594,0.91667,0.83465,0.59795,1.00469,1.27861,1.1176,0.0011884,0.0011884,0.0011884
31,134.669,0.65465,0.46191,1.00549,0.84748,1,0.995,0.81701,0.74057,0.87462,0.95304,0.0011719,0.0011719,0.0011719
32,137.896,0.68596,0.4597,1.06387,0.91189,0.8976,0.99192,0.80754,0.68782,0.6684,0.90843,0.0011554,0.0011554,0.0011554
